time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
23.456,0.3011,0.4047,0.1036,-0.002
23.506,0.3011,0.4047,0.1036,-0.002
23.556,0.3012,0.4047,0.1035,0.0
23.606,0.3012,0.4047,0.1035,0.0
23.656,0.3012,0.4047,0.1035,0.0
23.706,0.3012,0.4047,0.1035,0.0
23.756,0.3012,0.4047,0.1035,0.0
23.806,0.3012,0.4047,0.1035,0.0
23.856,0.3011,0.4047,0.1036,0.0
23.906,0.3011,0.4047,0.1036,0.0
23.956,0.3011,0.4047,0.1036,0.0
24.006,0.3011,0.4047,0.1036,0.0
24.058,0.3011,0.4047,0.1036,0.0
24.107,0.3012,0.4047,0.1035,0.0
24.157,0.3012,0.4047,0.1035,0.0
24.207,0.3012,0.4047,0.1035,0.0
24.257,0.3015,0.4047,0.1032,0.0
24.307,0.3016,0.4047,0.1031,0.0
24.357,0.3016,0.4047,0.1031,0.0
24.407,0.3016,0.4047,0.1031,0.0
24.457,0.3016,0.4047,0.1031,0.0
24.507,0.3017,0.4047,0.103,0.0
24.557,0.3017,0.4047,0.103,0.0
24.607,0.3017,0.4047,0.103,0.0
24.657,0.3018,0.4047,0.1029,0.0
24.707,0.3018,0.4047,0.1029,0.0
24.757,0.3018,0.4047,0.1029,0.0
24.807,0.3019,0.4047,0.1028,0.0
24.857,0.3019,0.4047,0.1028,0.0
24.907,0.302,0.4047,0.1027,0.0
24.957,0.302,0.4047,0.1027,0.0
25.007,0.3021,0.4047,0.1026,0.0
25.057,0.3022,0.4047,0.1025,0.002
25.107,0.3023,0.4047,0.1024,0.002
25.157,0.3023,0.4047,0.1024,0.002
25.207,0.3024,0.4047,0.1023,0.002
25.257,0.3025,0.4047,0.1022,0.002
25.307,0.3028,0.4047,0.1019,0.002
25.357,0.3028,0.4047,0.1019,0.002
25.407,0.3031,0.4047,0.1016,0.002
25.457,0.3033,0.4047,0.1014,0.002
25.507,0.3033,0.4047,0.1014,0.002
25.557,0.3035,0.4047,0.1012,0.002
25.607,0.3036,0.4047,0.1011,0.002
25.657,0.304,0.4047,0.1007,0.004
25.707,0.3041,0.4047,0.1006,0.004
25.757,0.3042,0.4047,0.1005,0.002
25.807,0.3043,0.4047,0.1004,0.002
25.857,0.3043,0.4047,0.1004,0.002
25.907,0.3044,0.4047,0.1003,0.002
25.957,0.3045,0.4047,0.1002,0.002
26.007,0.3047,0.4047,0.1,0.002
26.059,0.3049,0.4047,0.0998,0.002
26.108,0.3055,0.4047,0.0992,0.002
26.158,0.306,0.4047,0.0987,0.002
26.208,0.3062,0.4047,0.0985,0.0038
26.258,0.3062,0.4047,0.0985,0.0038
26.308,0.3063,0.4047,0.0984,0.0038
26.358,0.3067,0.4047,0.098,0.004
26.408,0.307,0.4047,0.0977,0.004
26.458,0.3074,0.4047,0.0973,0.006
26.508,0.3074,0.4047,0.0973,0.006
26.558,0.3079,0.4047,0.0968,0.006
26.608,0.3083,0.4047,0.0964,0.006
26.658,0.3084,0.4047,0.0963,0.006
26.708,0.3084,0.4047,0.0963,0.006
26.758,0.309,0.4047,0.0957,0.008
26.808,0.3093,0.4047,0.0954,0.006
26.858,0.3097,0.4047,0.095,0.008
26.908,0.31,0.4047,0.0947,0.006
26.958,0.3102,0.4047,0.0945,0.006
27.008,0.3102,0.4047,0.0945,0.006
27.058,0.3107,0.4047,0.094,0.006
27.108,0.3113,0.4047,0.0934,0.006
27.158,0.3116,0.4047,0.0931,0.006
27.208,0.3116,0.4047,0.0931,0.006
27.258,0.3127,0.4047,0.092,0.006
27.308,0.313,0.4047,0.0917,0.006
27.358,0.3134,0.4047,0.0913,0.006
27.408,0.3134,0.4047,0.0913,0.006
27.458,0.314,0.4047,0.0907,0.008
27.508,0.3144,0.4047,0.0903,0.008
27.558,0.3145,0.4047,0.0902,0.006
27.608,0.315,0.4047,0.0897,0.008
27.658,0.3156,0.4047,0.0891,0.008
27.708,0.3158,0.4047,0.0889,0.008
27.758,0.316,0.4047,0.0887,0.008
27.808,0.3163,0.4047,0.0884,0.006
27.858,0.3169,0.4047,0.0878,0.008
27.908,0.317,0.4047,0.0877,0.006
