time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
28.962,0.6113,0.7,0.0887,-0.016
29.012,0.6108,0.7,0.0892,-0.016
29.062,0.6096,0.7,0.0904,-0.016
29.112,0.609,0.7,0.091,-0.016
29.162,0.6084,0.7,0.0916,-0.016
29.212,0.6072,0.7,0.0928,-0.016
29.262,0.6071,0.7,0.0929,-0.014
29.312,0.6063,0.7,0.0937,-0.014
29.362,0.6061,0.7,0.0939,-0.012
29.412,0.6059,0.7,0.0941,-0.012
29.462,0.6055,0.7,0.0945,-0.012
29.512,0.6055,0.7,0.0945,-0.008
29.562,0.6055,0.7,0.0945,-0.004
29.612,0.6055,0.7,0.0945,-0.004
29.662,0.6055,0.7,0.0945,-0.002
29.712,0.6055,0.7,0.0945,0.0
29.762,0.6055,0.7,0.0945,0.0
29.812,0.6055,0.7,0.0945,0.0
29.862,0.606,0.7,0.094,0.0
29.912,0.6067,0.7,0.0933,0.0
29.962,0.6073,0.7,0.0927,0.0
30.012,0.6086,0.7,0.0914,0.0
30.064,0.6098,0.7,0.0902,0.01
30.113,0.6106,0.7,0.0894,0.012
30.163,0.6123,0.7,0.0877,0.014
30.213,0.6137,0.7,0.0863,0.0163
30.263,0.6149,0.7,0.0851,0.0231
30.313,0.617,0.7,0.083,0.024
30.363,0.619,0.7,0.081,0.026
30.413,0.6211,0.7,0.0789,0.028
30.463,0.6237,0.7,0.0763,0.034
30.513,0.6251,0.7,0.0749,0.034
30.563,0.6282,0.7,0.0718,0.04
30.613,0.6302,0.7,0.0698,0.04
30.663,0.6331,0.7,0.0669,0.042
30.713,0.636,0.7,0.064,0.042
30.763,0.6383,0.7,0.0617,0.046
30.813,0.6418,0.7,0.0582,0.052
30.863,0.6441,0.7,0.0559,0.052
30.913,0.6472,0.7,0.0528,0.058
30.963,0.6504,0.7,0.0496,0.058
31.013,0.6527,0.7,0.0473,0.058
31.063,0.6563,0.7,0.0437,0.058
31.113,0.6604,0.7,0.0396,0.062
31.163,0.6631,0.7,0.0369,0.062
31.213,0.666,0.7,0.034,0.062
31.263,0.669,0.7,0.031,0.06
31.313,0.6712,0.7,0.0288,0.06
